"id";"fio";"position";"int_phone";"mobile";"email";"skype";"city"
"111";"Попов";"электрик";"3223";"89234568745";"popov@sts.ru";"poppov";"НВКЗ"
"110";"sfsfsdf";"hffghfhfg";"3445";"89237899867";"leon-s1@rambler.ru";"qwert";"ЛК"
"109";"Иванов";"программист";"2334";"89234567876";"chel@gmail.com";"ivanov";"ЛК"
"108";"ada";"afs";"sdfs";"sdff";"sfsdfd";"sfs";"ЛК"
"107";"";"";"";"";"";"";""
"106";"";"";"";"";"";"";""
"105";"sdfsffsdf";"Начальник гаража";"3443";"89254521212";"leon-s1@rambler.ru";"qwert";"ЛК"
"104";"sdfsffsdf";"Специалист";"3443";"89254521212";"leon-s1@rambler.ru";"qwert";"ЛК"
"103";"Ленинск";"Ленинск";"3223";"89234565434";"Ленинск";"Ленинск";"ЛК"
"102";"sdfsffsdf";"Начальник гаража";"3443";"89254521212";"leon-s1@rambler.ru";"qwert";"ЛК"
"100";"Сидоров Иван Иванович";"Столяр";"3443";"89254521212";"admin@mail.ru";"qwert";"МСК"
"97";"Иванов Иван Иванович";"Слесарь";"4335";"89345674534";"ivanov@gmail.com";"ivanov.vv";"МСК"
"96";"Иванов Иван Петрович";"Сантехник";"3443";"89234568756";"kavad2003@yandex.ru";"sfsfsfsfs";\N
"95";"Петров Петр";"Автослесарь";"3443";"89234567645";"petrov.@gmail.com";"petrov.pp";"МСК"
"94";"Петров Петр Петрович";"Зам.технического директора по охране труда и производственному контролю";"3443";"89234568723";"shvetsov-70512.lnkваыа@rambler.ru";".cid.61ba4fc034fcb51f";\N
"93";"sfsf dsfsf sfsfsdf";"";"4334";"89345678844";"hfsjfshjk@rambler.ru";"petro";"ЛК"
"92";"Чупров Сергей Александрович";"Системный администратор";"109";"89254521212";"chuprov_sa@sibtranss.ru";"qwertsfsfsdfsdfsdfs";\N
"90";"sdvsdvsvsdvfsd";"sdfsdfsdfsdf";"sdfsd";"89254521212";"leon-s1@rambler.ru";"qwert";\N
"88";"sdfsffsdf";"Начальник гаража";"4525";"89254521212";"shvetsov-70512.lnk@rambler.ru";"qwert";\N
"84";"цкцк";\N;\N;\N;"кцкцукц";\N;\N
"83";"john john";"Механик";"3845";"89512365478";"john@mail.com";"skypeter";\N
